Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,UNH,V
2020-01-02,72.620849609375,153.0422821044922,68.0260238647461,94.90049743652344,5.971747875213623,208.63540649414065,28.68400001525879,120.15470123291016,268.7110595703125,183.8720550537109
2020-01-03,71.91480255126953,151.13661193847656,67.67015838623047,93.74849700927734,5.876163005828857,207.53147888183597,29.53400039672852,118.5691146850586,265.99176025390625,182.40968322753903
2020-01-06,72.48783874511719,151.52731323242188,69.47384643554688,95.1439971923828,5.900805950164795,211.4400329589844,30.1026668548584,118.47481536865234,267.8382873535156,182.01524353027344
2020-01-07,72.14693450927734,150.14572143554688,69.33965301513672,95.34300231933594,5.9722442626953125,211.8975067138672,31.270666122436523,116.46068572998048,266.221435546875,181.5342254638672
2020-01-08,73.30750274658203,152.53729248046875,69.83318328857422,94.59850311279295,5.983445644378662,214.0457305908203,32.80933380126953,117.36917114257812,271.83447265625,184.6416778564453
2020-01-09,74.86463928222656,154.44296264648438,70.56629180908203,95.05249786376952,6.049160480499268,217.10891723632807,32.089332580566406,117.79774475097656,270.2912292480469,185.92124938964844
2020-01-10,75.03386688232422,153.72828674316406,71.02204895019531,94.15799713134766,6.081519603729248,216.8702392578125,31.87666702270508,116.62352752685548,271.1271057128906,186.4215545654297
2020-01-13,76.6369400024414,155.57681274414062,71.57225036621094,94.56500244140624,6.27218770980835,220.69924926757807,34.990665435791016,117.592041015625,262.60186767578125,187.9224548339844
2020-01-14,75.6020736694336,154.48109436035156,71.10307312011719,93.47200012207033,6.155198574066162,217.86477661132807,35.861331939697266,118.96336364746094,264.79754638671875,188.61509704589844
2020-01-15,75.27808380126953,155.48150634765625,71.531005859375,93.10099792480467,6.112632751464844,219.94337463378903,34.56666564941406,117.18060302734376,272.3031005859375,192.22286987304688
2020-01-16,76.22105407714844,158.33045959472656,72.07574462890625,93.89700317382812,6.196269035339356,220.55999755859372,34.232666015625,117.63487243652344,276.2808532714844,193.3292388916016
