Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,BRK-B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-19,90757300,30480900,226188000,66102000,41660000,28028500,76101000,5502100,3361300,19843800,9772000,7729100,24932600,4625200,18819000,9057600,3615800,9184900,8467316,4533800,7723800,4419200,5158600,7753800,12315800,9574800,24123600,2249400,45115100,3331600,29114500,78130200,1758700,35647100,1643100,2172900,6277800,8142700,33451300,2656300,14897700,2841900,8209000,7685100,6727800,978100,2044800,274900,4683100,7381800,1920600,2017200,5646308,6519600,12740305,2361200,852400,1509600,2992100,4508500,8903400,1578400,28868800,26602500,1414000,5662800,819300,947400,4119500,5709400,995400,10847800,18395900,1213900,2544655,1759100,954800,1037828,327200,1385500,8277200,5818500,27022400,6604300,2224000,2980300,1434500,1668900,1656300,822600,21249400,14498800,2966700,2976200,7186300,2708500,12455300,17338800,16808900,1922800,5347800,2148100,2300200,1745400,6148600,1772400,9645300,4004300,4727000,1396100,2144500,2981000,497200,982400,976900,525100,8838000,1940700,1247500,1275200,6270300,3670800,2486200,2816400,5806383,2093700,2555000,1133000,1877600,2518500
2021-01-20,104319500,37777300,258572000,106196000,64152000,25199900,76997700,4876200,3036800,16028800,12675700,5335800,22342400,5081000,14710000,6839900,3498400,12506600,11097901,2767200,6554600,3859000,5019300,9857700,32637500,8735400,23775600,2081600,35185800,4077700,23115800,53920000,1257100,28701300,1773300,2768200,4329500,8576800,35400100,2452400,16133000,3239600,7943300,4733500,4792600,1538900,1608800,339000,3899800,4657700,1648200,1780000,5856240,5844300,11840751,2501100,747600,1327500,2296100,4062500,7025000,2051800,16499400,21191700,1794500,3468000,985500,1432900,3346000,5713900,862700,9609600,10131300,1293300,2313754,2021900,1158200,1220035,285300,942100,9798200,4090200,17448900,6584100,2799500,2260300,1446100,1318600,1704000,536500,10571800,21178000,2280700,2566800,5529300,2470300,8888300,14227800,13376100,2348200,3443200,2740700,2413900,1940200,6556300,2274600,10878500,6897200,3974400,1457900,1698500,2377900,420600,851000,725900,519600,13281800,3984600,759200,922600,5151000,3552000,2331300,2588700,5904663,2486000,2784100,1232700,1801600,2668200
2021-01-21,120150900,30709400,337780000,98722000,58634000,20838700,61563300,4317300,3749800,13411700,6513500,8698800,29044500,3484900,15749000,6818000,4397900,8761600,9043716,2121600,5417000,2768700,5684100,6785900,11802100,10393100,14325900,1625600,54221900,2674900,19702500,49626600,1514200,86519500,1559800,2215900,3583900,9268600,33829700,2705100,13591300,6344000,6295700,4166300,2516000,1012400,1624000,460800,5322600,7366800,1975500,1661800,13116003,5731500,13162304,1951200,639600,1931000,2469500,3806000,6943600,1736700,17488400,14696200,2000800,5933400,600000,1196400,2597500,5180800,940100,14064300,8141800,806500,2684414,2095000,993700,1077483,254600,1014700,6367000,3654900,19394600,6039900,1622200,1505100,2042500,1677600,1249100,663000,21086200,16897000,8526200,2698600,5204400,2924100,7693800,18790400,12080300,4382700,4585100,2085100,1010000,1431100,5138100,1988300,8579900,5772000,2556000,977600,1348400,1796500,359800,821500,673700,774100,8146600,12132150,1182300,788300,3530400,3185400,2254700,3227000,5138751,1749300,2241600,999800,1378200,1805500
2021-01-22,114459400,30172700,246820000,56438000,32744000,21954000,60199500,4465000,2585100,12933200,7316200,6128800,23264800,3846600,16248000,8137000,4501900,7202800,9436926,1960300,5185500,2534300,4014900,10186100,7550800,7810600,19219500,2049600,71294700,2196400,15400300,45314500,1936600,85729300,1582000,1866600,3736800,6371800,26271200,3502700,15460000,4290300,5062300,3156300,2568800,1029700,1258200,356700,3612300,4558100,5299200,1557600,39814421,5231600,10617570,2027000,565700,1429900,3147200,3028300,9896700,1150600,14643400,14229500,2590200,2681400,562900,1402500,4033000,2791600,620600,9071900,4914400,691100,3057444,1422900,969400,1003632,329400,1023000,5472400,2954800,24740400,4132700,1519100,1926200,1505700,1225400,1490400,447100,13559500,9535400,5481100,2563600,3645100,2903600,9705900,18001800,14149600,4518300,3257100,1455300,1583600,1160300,4949100,1539100,9458200,4816300,2393400,1446100,1405700,2432200,412500,1114100,662000,735800,7833000,5181750,1248400,1155500,3079400,4152900,1917500,3789500,5874100,1375700,2364900,1189000,1911400,1719700
2021-01-25,157611700,33152100,251112000,74996000,50586000,19087000,123520200,5097700,2506300,14212800,19282400,5959100,26395800,6257700,14692000,9924400,4025900,9640000,9957677,2735900,6928200,2697400,3829000,8213500,7207300,7689400,19031100,1921600,55086900,2615300,16604200,48078400,1509700,61968500,1990700,1830700,5401900,13215600,31728500,4737700,15933100,4815200,5370800,4156000,4575000,1712100,1828600,879500,4764100,10514000,3307200,1976600,14315974,5009000,18462763,3837100,806400,1539600,3697100,3287600,8524700,1588200,16581300,19283400,2697900,5752200,475000,1229500,3263500,5178100,828400,9171000,8443900,806800,2445955,1858100,860900,1383702,349600,1180500,7888800,6156700,25754100,5261400,1453800,2811200,1358300,1191100,1223100,630600,15541000,10739700,4902800,3003600,7148400,3294000,10399200,16633800,12581800,3581000,3423900,1511600,1708000,1605700,6447200,4094700,32565400,7750400,3477600,1644500,1598900,2137500,408200,1075400,1027300,803000,6463800,4620750,1247800,1919200,4013100,4057600,3469200,2481900,8490232,2284200,3095400,1306600,1672000,2481600
2021-01-26,98390600,49169600,163980000,59104000,31462000,19373600,69394800,3944800,2467500,11307800,9605300,6601500,23976800,3503100,10742000,14205700,2472200,5996700,7748283,1807000,5554600,2363100,4242500,5021000,5023800,7827800,15031500,1345500,59449100,2907800,12922600,36373000,1006300,31485900,1544600,2008900,5341900,12476900,27718700,2201900,10899700,3867700,6554200,3713400,3296800,1417700,1629200,447600,2496200,13322200,3036900,3542400,11186656,7195300,42495519,2506000,827900,1364200,2329100,3371600,8186500,663500,13087800,13678000,2134200,7090200,563300,960700,3397000,5151300,901700,11284100,7125200,777200,1853530,1436900,1222400,867878,346900,1221100,6786900,8932500,18760900,3623900,1479500,1564900,1155200,1393100,1140700,551300,20225800,7616300,3702400,2056800,4268200,3676800,7628100,16016000,9965600,2928500,3463600,1472500,1214200,1545600,4664500,2061100,24965000,5788400,2875200,1440900,1140700,2010900,322600,832700,692600,2311000,4724400,4657500,1138000,1877400,3222800,3393600,2261500,3134700,6246891,1430100,2261000,1170400,2076400,2263200
2021-01-27,140843800,69870600,371272000,93204000,82512000,35346200,82002000,8227100,4770900,17603900,13772400,7358000,32410300,7449400,21857000,14207300,4337000,10826700,16230376,3120800,11887900,3586400,6659800,7641100,8670300,10178500,29910300,1833100,73341200,5464000,21242400,63809200,2504600,49722900,2681600,3237900,10011200,16893300,50561200,4108600,17002600,3791000,9854000,5295400,3891800,2241300,2546200,705600,4762700,12377000,2317500,2666300,12705239,18139500,29983117,4095300,1104400,1769900,5644400,6894600,14789000,1928100,29634500,23513400,2714700,13287000,812800,2085200,5509500,4557500,1433500,13847700,9908200,1116300,5268662,2235400,3046900,1946700,583100,2287600,10579800,5816900,24657200,5679700,3074900,2410500,1581600,2015700,2370600,890900,17044000,8841600,7499600,3080400,8826500,4027100,10041100,24717700,16088400,4006700,6985900,3201600,2699400,2897700,7207300,2671500,40043200,6289700,7168600,2064000,2062200,4835500,588600,1454400,1433300,2246400,8923200,4785600,1233100,3431100,5062700,4657200,3002300,2528400,10024861,2233300,5693800,3078100,2810600,3344200
2021-01-28,142621100,49111200,228316000,62984000,55278000,37758800,79134000,5943500,2769900,13761800,11041300,5460400,24967200,6906400,16946000,8944400,3463000,8242000,12972039,2251100,8534300,3000700,5514000,7246000,5969000,8155500,22301700,1794200,47048400,5401600,17498900,51223300,1619700,49202600,2110400,5205600,6796600,8541300,39466700,3731700,14986200,3406500,8087400,3304800,3778700,3282700,1593500,843300,3816600,8753200,1720500,1837800,8455969,8868200,18879766,3445400,822400,1504200,4352000,4236900,11166400,1395100,21166000,18351400,1752700,9528000,835500,1549400,2935000,3374200,1050700,17514700,8086400,979600,2957052,1542000,1767000,1586406,493500,1709900,11278600,5788500,19986200,5337100,2721800,2859700,1464400,1409400,2144300,771200,12418200,10283300,7417500,2654500,6253800,3516000,9058500,24464600,11646800,3635000,3965200,6267000,2445900,2034500,6627800,1960100,28535200,8037900,3769000,1821900,1537100,2530300,618500,1307100,914200,938000,6890200,3852000,1357900,3501900,2764400,3124000,2001000,2118400,7455275,1705400,3986200,1622400,1857900,2995600
2021-01-29,177523800,42503100,271552000,85872000,44530000,30389500,104972400,6387300,3899200,14808100,21503000,8401700,38961100,7627200,22069000,22505900,4079500,8344100,10671470,2598700,9380400,3061100,6778100,6473000,4325300,14699800,32509200,2494400,56735800,5203300,18670300,64019100,2586400,37256200,1647300,3792800,5969800,13189700,60251900,4635100,17566100,3508000,9502100,5107300,3412000,2380200,2029500,536200,4400500,15649100,1890300,2101100,12369473,8203000,21921317,4541400,801100,1734300,3512700,7315100,11451800,1523500,22608100,17934400,1611200,6860400,791300,1859500,6455000,3959000,1389800,16092000,11724100,4789400,6483406,1308700,1659900,1670145,493600,1531400,17772200,5059300,27078300,6970400,2734500,2791300,2200500,1619400,2488400,1012400,15573600,11660400,6691300,5732800,6180900,3867900,9268500,26327100,11373200,3138200,3612300,4483800,2381500,1694300,6544400,2685100,17188900,7405100,3693800,2364700,2444700,3545400,1192700,1265100,1557900,1108900,7538800,4598250,996300,2704900,3464500,4330700,4967400,3261000,9616178,2096300,6527600,1163500,1707900,2540500
2021-02-01,106239800,33314200,217204000,83204000,40252000,22914300,76174200,4068200,3020200,11080700,12970700,5383800,24412400,4930700,17027000,9971400,3707800,6534200,8224599,2371200,7518200,2554800,4185700,5696700,3547500,8073600,25945200,1559700,42359300,2812500,12183600,40985300,2083100,26926600,1629200,2173500,5715600,5589500,40395800,2889000,11961600,2228700,8265100,6209500,2324100,1716900,1927900,478700,3898500,5994000,1884000,1615500,6538023,7206300,13379614,2738200,483100,1163400,2958500,5905500,10553500,1260100,16776900,14900200,1159900,6793800,643000,1430000,3457000,3443900,790600,11240900,6270200,1445700,4042978,1410500,1689200,1464660,573000,1811300,8601100,3359800,16073000,5428200,1774600,2557900,1714300,2252200,2278400,610000,10081500,9229400,4710300,2968800,5232100,2786700,7655200,20579300,8551800,1934800,2637300,3087100,1412100,1262600,5619300,2128900,13036700,6514500,3085000,2080800,3054600,3674900,817400,689100,1070900,985900,5630000,2766000,1135400,1698600,3257200,3480100,2570900,1901700,5117580,1284700,2429300,887400,1077900,2715400
